area,quartos,banheiros,garagem,preco
102,1,1,0,456028
116,1,1,1,517282
60,1,1,0,298118
58,1,1,0,286039
187,2,1,2,875698
187,3,2,3,918098
92,3,2,3,567941
221,4,3,4,1147342
108,3,2,3,633955
230,4,3,3,1178336
161,3,2,2,843985
96,3,3,3,588860
231,4,4,4,1185930
181,2,1,1,823908
281,6,5,4,1495066
211,3,2,2,1049959
206,5,5,4,1124026
206,4,4,4,1125178
279,5,5,4,1432962
179,4,4,4,968173
115,3,2,2,650433
101,2,1,2,531286
77,2,2,2,444076
173,2,1,2,844970
219,3,3,3,1074165
277,4,4,3,1383671
99,2,1,1,493304
127,1,1,1,562676
102,2,2,1,503196
168,2,1,2,827078
80,1,1,1,400031
129,2,2,1,648143
147,3,3,3,790111
276,4,3,3,1332396
218,3,2,2,1027071
81,1,1,0,412537
61,1,1,0,287450
293,5,4,4,1473525
287,6,5,4,1481752
265,5,5,4,1388606
72,1,1,1,378124
218,3,2,2,1039065
274,5,5,4,1414054
281,5,4,4,1460154
95,1,1,0,461385
166,3,3,3,872746
154,4,3,3,840636
46,2,2,2,297894
261,6,5,4,1385645
156,2,1,2,726946
70,2,1,1,380281
86,2,1,1,458450
165,4,3,3,899940
65,1,1,1,318089
149,3,2,3,777738
112,2,2,2,605674
82,1,1,0,362201
154,3,2,3,830528
80,1,1,1,374338
269,5,4,4,1400275
98,2,2,1,540908
99,2,2,2,541438
152,3,2,3,797522
295,5,4,4,1507568
261,5,4,4,1345059
111,2,1,2,570354
263,4,3,3,1331475
121,1,1,0,549366
110,1,1,1,548915
65,1,1,0,329708
97,2,2,1,493914
128,2,2,1,620354
215,5,4,4,1140433
100,3,2,3,560577
147,4,4,4,873174
161,3,2,2,813313
213,4,3,4,1101612
249,5,4,4,1330277
178,3,3,2,883704
267,5,5,4,1406128
104,3,2,3,565708
268,4,3,4,1337865
80,1,1,0,396169
198,4,4,4,1059971
196,4,3,4,1050776
239,4,4,4,1241709
45,1,1,0,230173
209,5,5,4,1167077
154,4,3,3,834398
216,3,2,3,1047922
146,3,2,2,740246
288,4,4,4,1469673
144,4,4,4,822789
120,1,1,1,546341
135,3,2,2,733596
107,3,2,3,619150
207,5,5,4,1173199
126,3,3,3,722468
171,3,3,2,865196
270,4,4,3,1338807
216,4,3,3,1086084
163,4,3,3,857809
257,6,5,4,1376648
76,1,1,1,406499
55,2,2,1,325052
197,5,5,4,1104396
157,3,3,3,805302
244,4,4,3,1266883
284,5,4,4,1458590
58,1,1,0,313409
281,5,4,4,1432044
212,4,4,4,1114518
239,4,4,4,1260516
86,3,2,2,495135
159,2,1,1,737005
147,2,1,1,678672
287,4,3,4,1435240
176,3,2,2,901173
128,2,1,1,611044
237,5,4,4,1261203
169,2,2,1,832981
66,1,1,1,309719
219,3,3,3,1070716
266,5,5,4,1390740
135,2,2,2,681545
182,3,2,2,893679
275,5,5,4,1422046
59,2,2,1,350752
153,3,3,3,804927
186,2,1,1,850017
253,6,5,4,1374929
296,6,5,4,1532483
158,4,3,4,891113
233,5,5,4,1272485
214,4,4,4,1120894
173,3,2,2,858279
106,2,1,1,546605
292,5,5,4,1525967
144,3,2,3,742559
199,3,2,3,964782
72,1,1,1,337123
51,1,1,1,271066
219,4,3,4,1160273
289,4,3,4,1430027
82,1,1,0,410559
200,3,2,2,987573
258,5,5,4,1388139
271,5,5,4,1420465
75,1,1,0,345343
86,2,1,1,450375
83,2,1,2,446124
285,5,4,4,1442881
189,4,3,3,980137
146,4,3,3,824643
121,2,1,1,565108
129,2,2,2,635949
284,5,5,4,1470598
297,6,5,4,1575689
266,5,5,4,1368185
162,2,2,1,801411
134,3,3,3,718694
268,6,5,4,1418403
254,5,5,4,1368012
127,2,2,2,638288
250,4,4,3,1257612
174,3,2,3,913482
45,2,2,1,272293
230,5,5,4,1224340
181,3,3,3,961927
293,4,3,3,1446116
126,2,1,2,603308
160,2,2,1,785448
123,3,3,3,687829
292,6,5,4,1532527
119,3,2,2,667424
80,1,1,1,415623
181,2,2,2,901084
295,5,5,4,1506618
215,5,5,4,1204990
141,3,3,2,777299
255,4,4,4,1319217
240,5,4,4,1237426
109,2,1,2,532334
278,4,3,4,1408677
124,1,1,1,570987
248,4,4,4,1264352
294,4,3,3,1445163
192,3,2,3,938851
96,3,2,3,588406
59,1,1,0,280026
228,4,4,3,1160603
255,5,4,4,1303175
240,4,4,3,1210216
281,5,5,4,1468902
49,2,2,1,281640
271,5,5,4,1428440
173,4,4,3,938811
292,4,3,4,1447881
228,4,4,3,1198997
247,4,3,3,1266078
299,5,4,4,1497152
142,3,2,2,766605
65,1,1,0,323982
231,4,3,4,1175611
257,5,4,4,1357944
232,4,3,4,1218303
291,5,5,4,1497892
83,2,1,2,472026
232,3,3,2,1120731
108,3,3,3,635909
240,4,3,3,1207898
57,1,1,0,294041
282,5,5,4,1438560
68,1,1,1,321210
94,2,1,2,492529
234,5,4,4,1252720
95,3,3,3,545144
234,4,4,4,1200273
230,3,3,3,1113968
248,5,4,4,1324176
277,4,3,3,1335714
215,4,3,3,1076496
151,3,2,3,810949
120,1,1,0,525519
173,3,2,2,846237
52,1,1,1,247434
134,2,1,1,664409
260,4,3,4,1305378
230,3,3,2,1135311
67,1,1,0,298386
290,6,5,4,1520130
272,4,3,4,1366265
120,1,1,1,572915
211,5,5,4,1164331
265,4,3,3,1310185
276,5,5,4,1458425
277,6,5,4,1453883
263,5,5,4,1359603
287,4,3,3,1380509
266,4,4,3,1340662
75,1,1,1,366173
261,4,4,4,1321245
98,2,1,2,494296
100,2,2,1,540978
187,3,3,2,954311
181,2,1,2,874252
203,4,4,3,1051488
118,3,2,2,655160
60,1,1,1,307514
277,5,4,4,1410823
211,3,2,2,1007516
70,1,1,1,365380
262,6,5,4,1388302
155,2,2,2,744267
190,4,4,3,999451
247,3,2,2,1168153
153,3,3,3,808103
106,1,1,1,484714
111,3,2,3,596923
248,4,4,3,1258730
84,2,2,2,485297
258,5,4,4,1311966
211,4,4,4,1093975
268,4,3,4,1348192
250,4,4,4,1300877
218,4,4,3,1107605
103,2,2,2,566269
120,2,1,1,573775
146,3,2,2,735809
297,6,5,4,1574039
206,4,4,3,1082931
271,5,5,4,1406264
82,1,1,1,374864
74,1,1,0,366048
91,3,3,2,540673
141,3,3,2,725254
275,4,4,3,1375066
133,1,1,1,615397
126,2,2,2,640589
254,5,4,4,1298119
213,3,3,3,1055114
121,2,1,1,584125
203,5,4,4,1099888
237,4,3,3,1206737
261,5,4,4,1343441
137,2,2,2,673983
160,3,2,2,802385
96,1,1,0,455341
237,4,3,3,1218883
129,3,2,3,691674
166,4,4,4,914535
167,3,3,2,854506
270,6,5,4,1436958
259,5,4,4,1372013
173,2,2,2,848942
97,1,1,0,470411
127,2,2,1,658863
268,4,3,4,1367575
223,3,3,2,1091582
236,4,4,3,1202770
159,2,2,1,793796
216,4,3,3,1095000
286,5,5,4,1486527
47,1,1,1,239533
121,3,2,3,649773
199,3,2,2,974313
279,4,3,4,1394907
53,1,1,1,278730
45,1,1,1,229275
88,2,1,1,448188
285,4,4,4,1415623
53,1,1,1,266402
98,2,1,1,487688
218,4,4,4,1159001
138,3,2,3,708023
195,4,3,3,1046051
66,1,1,1,358638
287,5,4,4,1451150
227,3,3,3,1105557
233,5,5,4,1282230
242,4,3,4,1245755
299,5,5,4,1548450
262,4,4,3,1323148
195,4,3,3,1009490
196,4,4,4,1036121
272,5,5,4,1435032
225,5,5,4,1194917
252,5,4,4,1294757
269,4,3,3,1314266
232,4,4,3,1201055
123,3,3,3,689694
84,2,2,2,459403
187,3,2,2,944613
140,4,4,3,792155
178,4,3,4,977080
296,5,4,4,1526090
82,2,1,2,418153
208,4,3,4,1116014
198,4,3,4,1048941
159,2,1,1,736314
297,4,4,4,1480031
111,1,1,1,520293
290,6,5,4,1496213
207,3,3,3,1057971
221,4,3,3,1125552
73,1,1,1,345390
127,2,1,2,635406
190,2,2,1,910619
185,3,3,2,938936
131,2,1,2,673416
66,1,1,0,332238
180,3,3,2,917639
193,4,4,3,1050336
252,5,5,4,1348528
75,1,1,1,374735
282,5,5,4,1449885
208,4,4,3,1110450
